Titulo,Preço,Loja,qtd_vendida,link
Smart Tv De 43 LG Tu801c 43tu801c0sa Com Tela Led 4k - Preto,1669,Eshop,Não informado,https://www.mercadolivre.com.br/smart-tv-de-43-lg-tu801c-43tu801c0sa-com-tela-led-4k-preto/p/MLB50879873#polycard_client=search-nordic&search_layout=grid&position=1&type=product&tracking_id=adbe0efa-cc86-4ae7-9ea5-6dc7d6e76c55&wid=MLB5416368530&sid=search
Smart Tv Lg 43 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa,1829.9,INPOWER,Não informado,https://www.mercadolivre.com.br/smart-tv-lg-43-4k-uhd-hdr-thinq-ai-pro-wifi-bluetooth-alexa/up/MLBU3281383682#polycard_client=search-nordic&search_layout=grid&position=2&type=product&tracking_id=adbe0efa-cc86-4ae7-9ea5-6dc7d6e76c55&wid=MLB5481965722&sid=search
Smart Tv LG 43'' 4k Ultra Hd Pro Led Hdr Thinq Ai Alexa,1689,Eshop,Não informado,https://produto.mercadolivre.com.br/MLB-4078357729-smart-tv-lg-43-4k-ultra-hd-pro-led-hdr-thinq-ai-alexa-_JM#polycard_client=search-nordic&search_layout=grid&position=3&type=item&tracking_id=adbe0efa-cc86-4ae7-9ea5-6dc7d6e76c55&wid=MLB4078357729&sid=search
Smart Tv De 43 LG Tu801c 43tu801c0sa Com Tela Led 4k - Preto,1697.47,NegociuN,Não informado,https://produto.mercadolivre.com.br/MLB-4136538229-smart-tv-de-43-lg-tu801c-43tu801c0sa-com-tela-led-4k-preto-_JM#polycard_client=search-nordic&search_layout=grid&position=4&type=item&tracking_id=adbe0efa-cc86-4ae7-9ea5-6dc7d6e76c55&wid=MLB4136538229&sid=search
Smart Tv De 43 Lg Tu801c 43tu801c0sa Com Tela Led 4k - Preto,1844,,Não informado,https://www.mercadolivre.com.br/smart-tv-de-43-lg-tu801c-43tu801c0sa-com-tela-led-4k--preto/up/MLBU3378857186#polycard_client=search-nordic&search_layout=grid&position=5&type=product&tracking_id=adbe0efa-cc86-4ae7-9ea5-6dc7d6e76c55&wid=MLB5618573240&sid=search
Smart Tv Lg 43  Pol  Led 4k Uhd Smart Pro 43tu801c0sa.awz,2278.41,Sanbox,Não informado,https://www.mercadolivre.com.br/smart-tv-lg-43--pol--led-4k-uhd-smart-pro-43tu801c0saawz/up/MLBU3426130277#polycard_client=search-nordic&search_layout=grid&position=6&type=product&tracking_id=adbe0efa-cc86-4ae7-9ea5-6dc7d6e76c55&wid=MLB4211244445&sid=search
Smart Tv De 43 LG Tu801c 43tu801c0sa Com Tela Led 4k - Preto,1809,NegociuN,Não informado,https://produto.mercadolivre.com.br/MLB-4232832601-smart-tv-de-43-lg-tu801c-43tu801c0sa-com-tela-led-4k-preto-_JM#polycard_client=search-nordic&search_layout=grid&position=7&type=item&tracking_id=adbe0efa-cc86-4ae7-9ea5-6dc7d6e76c55&wid=MLB4232832601&sid=search
Smart Tv De 43 LG Tu801c 43tu801c0sa Com Tela Led 4k - Preto,1699,NegociuN,Não informado,https://produto.mercadolivre.com.br/MLB-4216692909-smart-tv-de-43-lg-tu801c-43tu801c0sa-com-tela-led-4k-preto-_JM#polycard_client=search-nordic&search_layout=grid&position=8&type=item&tracking_id=adbe0efa-cc86-4ae7-9ea5-6dc7d6e76c55&wid=MLB4216692909&sid=search
"Smart Tv Lg 43 4k Tu801c0sa  Hdr, Alexa E Ai Sound Pro",2549,,Não informado,https://www.mercadolivre.com.br/smart-tv-lg-43-4k-tu801c0sa--hdr-alexa-e-ai-sound-pro/up/MLBU3428428958#polycard_client=search-nordic&search_layout=grid&position=9&type=product&tracking_id=adbe0efa-cc86-4ae7-9ea5-6dc7d6e76c55&wid=MLB5709837770&sid=search
Smart Tv Lg 43  Pol  Led 4k Uhd Smart Pro Thinq® Ai-bivolt,2090.55,Sanbox,Não informado,https://www.mercadolivre.com.br/smart-tv-lg-43--pol--led-4k-uhd-smart-pro-thinq-aibivolt/up/MLBU3426100511#polycard_client=search-nordic&search_layout=grid&position=10&type=product&tracking_id=adbe0efa-cc86-4ae7-9ea5-6dc7d6e76c55&wid=MLB4211295107&sid=search
